uid,treatment,testidx,data,scores
0,1,"0,4,1,2,5,3","[[""down"",""right"",""right"",""right"",""down"",""right"",""down"",""right"",""down"",""right""],[""right"",""down"",""right"",""down"",""up"",""down"",""right"",""down"",""right"",""down"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left""],[""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left""],[""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""left"",""left"",""right"",""right""],[""right"",""left"",""right"",""right"",""right"",""left"",""left"",""left"",""left"",""left"",""left"",""right"",""left"",""right"",""right"",""left"",""right"",""left"",""right"",""right""],[""right"",""right"",""left"",""left"",""right"",""right"",""left"",""left"",""right"",""left"",""left"",""right"",""right"",""right"",""left"",""left"",""left"",""left"",""left"",""right""],[""right"",""right"",""left"",""right"",""left"",""left"",""right"",""left"",""left"",""left"",""left"",""left"",""right"",""left"",""right"",""left"",""right"",""right"",""left"",""right""]]","[79,1069,510,477,670,571,736]"
1,1,"3,1,0,5,4,2","[[""down"",""right"",""left"",""right"",""left"",""right"",""down"",""up"",""down"",""up""],[""up"",""left"",""left"",""right"",""left"",""up"",""down"",""up"",""up"",""right"",""left"",""right"",""left"",""down"",""left"",""right"",""up"",""right"",""left"",""right""],[""down"",""down"",""left"",""right"",""left"",""right"",""left"",""left"",""down"",""up"",""down"",""left"",""down"",""left"",""up"",""right"",""down"",""left"",""up"",""right""],[""down"",""left"",""right"",""left"",""left"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""right"",""left"",""down"",""up"",""down"",""up"",""down"",""up""],[""left"",""left"",""right"",""left"",""down"",""up"",""up"",""right"",""left"",""left"",""right"",""down"",""up"",""down"",""down"",""up"",""down"",""up"",""down"",""up""],[""down"",""down"",""left"",""left"",""right"",""left"",""right"",""right"",""left"",""left"",""right"",""left"",""left"",""down"",""left"",""right"",""left"",""right"",""left"",""right""],[""down"",""left"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""right"",""left"",""up"",""right"",""left"",""down"",""up"",""down"",""up""]]","[98,904,1142,934,866,968,868]"
2,0,"5,4,1,2,3,0","[[""down"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right""],[""left"",""left"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up""],[""down"",""down"",""left"",""left"",""left"",""down"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right""],[""down"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down""],[""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up""],[""up"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left""],[""down"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down""]]","[100,924,1029,930,870,810,840]"
3,2,"3,5,2,1,0,4","[[""down"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right""],[""up"",""left"",""right"",""up"",""up"",""right"",""left"",""left"",""left"",""left"",""up"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left""],[""down"",""down"",""down"",""up"",""left"",""up"",""left"",""up"",""up"",""up"",""up"",""down"",""down"",""up"",""down"",""up"",""up"",""up"",""left"",""left""],[""left"",""left"",""up"",""up"",""up"",""up"",""left"",""left"",""up"",""right"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up""],[""left"",""left"",""left"",""up"",""down"",""down"",""right"",""down"",""right"",""right"",""up"",""right"",""right"",""down"",""down"",""right"",""right"",""right"",""down"",""left""],[""left"",""left"",""left"",""up"",""up"",""up"",""up"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left""],[""up"",""right"",""up"",""right"",""up"",""right"",""up"",""right"",""right"",""up"",""left"",""down"",""right"",""up"",""left"",""down"",""right"",""up"",""left"",""down""]]","[100,974,879,1578,864,1599,1214]"
4,0,"2,4,5,1,3,0","[[""right"",""down"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right""],[""down"",""left"",""right"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""left"",""down"",""up"",""right"",""up"",""down"",""up""],[""left"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""left"",""right"",""right"",""left"",""right"",""left"",""right"",""left""],[""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""left"",""left"",""up"",""down"",""up"",""down"",""up""],[""down"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""down"",""up"",""up"",""down""],[""right"",""down"",""down"",""up"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""right"",""left"",""left"",""right"",""up"",""down"",""down"",""right""],[""down"",""down"",""left"",""right"",""up"",""down"",""up"",""down"",""down"",""up"",""up"",""left"",""left"",""right"",""left"",""up"",""down"",""up"",""down"",""up""]]","[99,869,775,796,913,741,809]"
5,0,"2,5,4,0,3,1","[[""down"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right""],[""left"",""down"",""right"",""left"",""down"",""left"",""down"",""left"",""left"",""right"",""down"",""left"",""up"",""right"",""down"",""up"",""left"",""right"",""down"",""up""],[""left"",""left"",""down"",""up"",""down"",""down"",""down"",""left"",""left"",""down"",""up"",""right"",""left"",""down"",""up"",""right"",""left"",""down"",""up"",""right""],[""down"",""down"",""left"",""left"",""down"",""left"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right""],[""down"",""down"",""left"",""left"",""left"",""down"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right""],[""left"",""left"",""left"",""down"",""down"",""down"",""down"",""left"",""right"",""left"",""up"",""down"",""right"",""left"",""up"",""down"",""right"",""left"",""up"",""down""],[""down"",""down"",""left"",""left"",""down"",""left"",""down"",""left"",""right"",""up"",""down"",""left"",""right"",""up"",""down"",""left"",""right"",""up"",""down"",""left""]]","[100,944,1001,1030,1004,1467,1272]"
6,0,"2,1,5,3,4,0","[[""down"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right""],[""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up""],[""down"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down""],[""left"",""left"",""right"",""left"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""down"",""left"",""down"",""left"",""right"",""left"",""right"",""left"",""right""],[""up"",""left"",""left"",""up"",""up"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right""],[""left"",""down"",""down"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left""],[""down"",""down"",""left"",""right"",""up"",""down"",""right"",""left"",""down"",""up"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down""]]","[100,870,930,929,918,927,802]"
7,0,"2,5,1,3,4,0","[[""right"",""down"",""up"",""down"",""left"",""right"",""up"",""down"",""left"",""right""],[""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""left"",""right"",""left"",""left"",""right"",""right"",""left"",""left"",""right"",""right"",""left""],[""left"",""left"",""up"",""down"",""down"",""up"",""up"",""down"",""down"",""up"",""up"",""down"",""down"",""up"",""up"",""down"",""down"",""up"",""up"",""down""],[""down"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down""],[""right"",""left"",""up"",""left"",""right"",""left"",""right"",""left"",""left"",""up"",""up"",""down"",""up"",""right"",""left"",""right"",""left"",""right"",""left"",""right""],[""right"",""left"",""down"",""down"",""left"",""right"",""left"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left""],[""down"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down""]]","[97,860,894,930,846,891,840]"
8,0,"2,3,4,1,5,0","[[""down"",""right"",""down"",""up"",""left"",""right"",""left"",""right"",""down"",""up""],[""down"",""left"",""right"",""left"",""down"",""down"",""up"",""down"",""left"",""left"",""down"",""up"",""left"",""down"",""right"",""up"",""left"",""down"",""right"",""up""],[""right"",""down"",""down"",""down"",""up"",""up"",""right"",""right"",""down"",""left"",""left"",""up"",""right"",""down"",""right"",""left"",""right"",""down"",""right"",""right""],[""left"",""left"",""down"",""down"",""right"",""right"",""down"",""up"",""left"",""left"",""down"",""left"",""left"",""down"",""right"",""up"",""left"",""down"",""right"",""up""],[""down"",""down"",""left"",""left"",""left"",""down"",""left"",""down"",""right"",""up"",""left"",""down"",""right"",""up"",""left"",""down"",""right"",""up"",""left"",""down""],[""left"",""left"",""down"",""down"",""down"",""left"",""left"",""down"",""right"",""up"",""left"",""down"",""right"",""up"",""left"",""down"",""right"",""up"",""left"",""down""],[""right"",""right"",""left"",""up"",""right"",""up"",""up"",""right"",""left"",""left"",""right"",""right"",""left"",""left"",""right"",""right"",""left"",""left"",""right"",""right""]]","[98,932,828,887,1254,988,756]"
9,2,"1,2,5,0,3,4","[[""right"",""down"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right""],[""down"",""down"",""left"",""left"",""up"",""right"",""down"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""right"",""left"",""right"",""up"",""down""],[""down"",""left"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up""],[""left"",""left"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up""],[""down"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down""],[""up"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""left"",""right"",""right"",""left"",""left"",""up""],[""down"",""down"",""left"",""left"",""left"",""down"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right""]]","[99,908,878,924,840,806,1029]"
